,lens1,lens2,lens1_n_cubes,lens2_n_cubes,lens1_perc_overlap,lens2_perc_overlap,eps,n_vertices,n_connected_components
47,neighbour_1,IL-6,1,1,0.1,0.9,1.5000000000000004,1,1
48,neighbour_1,IL-6,1,1,0.1,0.9,1.7000000000000004,1,1
49,neighbour_1,IL-6,1,1,0.1,0.9,1.9000000000000004,1,1
50,neighbour_1,IL-6,1,1,0.3,0.1,0.1,6,6
51,neighbour_1,IL-6,1,1,0.3,0.1,0.30000000000000004,3,3
52,neighbour_1,IL-6,1,1,0.3,0.1,0.5000000000000001,1,1
53,neighbour_1,IL-6,1,1,0.3,0.1,0.7000000000000001,1,1
54,neighbour_1,IL-6,1,1,0.3,0.1,0.9000000000000001,1,1
55,neighbour_1,IL-6,1,1,0.3,0.1,1.1000000000000003,1,1
56,neighbour_1,IL-6,1,1,0.3,0.1,1.3000000000000003,1,1
57,neighbour_1,IL-6,1,1,0.3,0.1,1.5000000000000004,1,1
58,neighbour_1,IL-6,1,1,0.3,0.1,1.7000000000000004,1,1
59,neighbour_1,IL-6,1,1,0.3,0.1,1.9000000000000004,1,1
60,neighbour_1,IL-6,1,1,0.3,0.3,0.1,6,6
61,neighbour_1,IL-6,1,1,0.3,0.3,0.30000000000000004,3,3
62,neighbour_1,IL-6,1,1,0.3,0.3,0.5000000000000001,1,1
63,neighbour_1,IL-6,1,1,0.3,0.3,0.7000000000000001,1,1
64,neighbour_1,IL-6,1,1,0.3,0.3,0.9000000000000001,1,1
65,neighbour_1,IL-6,1,1,0.3,0.3,1.1000000000000003,1,1
66,neighbour_1,IL-6,1,1,0.3,0.3,1.3000000000000003,1,1
67,neighbour_1,IL-6,1,1,0.3,0.3,1.5000000000000004,1,1
68,neighbour_1,IL-6,1,1,0.3,0.3,1.7000000000000004,1,1
69,neighbour_1,IL-6,1,1,0.3,0.3,1.9000000000000004,1,1
70,neighbour_1,IL-6,1,1,0.3,0.5,0.1,6,6
71,neighbour_1,IL-6,1,1,0.3,0.5,0.30000000000000004,3,3
72,neighbour_1,IL-6,1,1,0.3,0.5,0.5000000000000001,1,1
73,neighbour_1,IL-6,1,1,0.3,0.5,0.7000000000000001,1,1
74,neighbour_1,IL-6,1,1,0.3,0.5,0.9000000000000001,1,1
75,neighbour_1,IL-6,1,1,0.3,0.5,1.1000000000000003,1,1
76,neighbour_1,IL-6,1,1,0.3,0.5,1.3000000000000003,1,1
77,neighbour_1,IL-6,1,1,0.3,0.5,1.5000000000000004,1,1
78,neighbour_1,IL-6,1,1,0.3,0.5,1.7000000000000004,1,1
79,neighbour_1,IL-6,1,1,0.3,0.5,1.9000000000000004,1,1
80,neighbour_1,IL-6,1,1,0.3,0.7,0.1,6,6
81,neighbour_1,IL-6,1,1,0.3,0.7,0.30000000000000004,3,3
82,neighbour_1,IL-6,1,1,0.3,0.7,0.5000000000000001,1,1
83,neighbour_1,IL-6,1,1,0.3,0.7,0.7000000000000001,1,1
84,neighbour_1,IL-6,1,1,0.3,0.7,0.9000000000000001,1,1
85,neighbour_1,IL-6,1,1,0.3,0.7,1.1000000000000003,1,1
86,neighbour_1,IL-6,1,1,0.3,0.7,1.3000000000000003,1,1
87,neighbour_1,IL-6,1,1,0.3,0.7,1.5000000000000004,1,1
88,neighbour_1,IL-6,1,1,0.3,0.7,1.7000000000000004,1,1
89,neighbour_1,IL-6,1,1,0.3,0.7,1.9000000000000004,1,1
90,neighbour_1,IL-6,1,1,0.3,0.9,0.1,6,6
91,neighbour_1,IL-6,1,1,0.3,0.9,0.30000000000000004,3,3
92,neighbour_1,IL-6,1,1,0.3,0.9,0.5000000000000001,1,1
93,neighbour_1,IL-6,1,1,0.3,0.9,0.7000000000000001,1,1
94,neighbour_1,IL-6,1,1,0.3,0.9,0.9000000000000001,1,1
95,neighbour_1,IL-6,1,1,0.3,0.9,1.1000000000000003,1,1
96,neighbour_1,IL-6,1,1,0.3,0.9,1.3000000000000003,1,1
