infection scenario,"time point
[hours]","viral load lung
[NP copies/100µg RNA]","bacerial burden lung
[CFU/mL]","IFN-γ
[pg/mL]","TNF-α
[]pg/mL]","MCP-1
[pg/mL]","IL-6
[pg/mL]","IFN-β
[pg/mL]","IL-22
[pg/mL]","GM-CSF 
[pg/mL]"
IAV + T4,6.0,84064.27,180000,235.6,216.76,103.8,535.68,940.81,0.0,41.16
IAV + T4,18.0,45724.9817999999,805000,4846.4,358.63,149.66,679.64,1521.8,0.0,27.35
IAV + T4,18.0,45724.9817999999,4200000,4066.8,770.57,138.67,1394.4,2898.05,0.0,44.18
IAV + T4,18.0,45724.9817999999,4700000,1367.84,295.03,265.04,651.94,1278.36,0.0,50.73
IAV + T4,18.0,45724.9817999999,3700000,3551.6,2227.69,164.33,2333.11,2491.74,22.32,76.33
IAV + T4,18.0,45724.9817999999,7900000,5822.4,1064.8,274.57,1968.08,2542.2,0.0,67.49
IAV + T4,26.0,25723.06,16000000,5601.504,3970.944,1481.28,13349.136,9501.264,82.224,733.296
IAV + T4,26.0,2613.845,18000000,5067.1,2598.14,954.93,583.31,2261.85,1033.54,514.992
IAV + T4,26.0,23248.3,4000000,7995.6,2727.46,830.8,11797.88,12266.89,0.0,20.33
IAV + T4,26.0,17195.0683333333,54000000,2472.8,1072.8,631.4,6452.6,0.0,0.0,0.0
IAV + T4,26.0,17195.0683333333,10000000,10456.6,3698.6,1293.0,7894.6,21732.6,0.0,493.4
IAV + T4,31.0,23100.0,6900000,11452.848,1877.232,453.36,5517.408,8243.52,74.496,702.768
IAV + T4,31.0,382000.0,91000000,15872.688,3315.408,2943.456,10849.056,11127.936,92.736,702.768
IAV + T4,31.0,14495.97,2500000,6444.69,2447.14,229.73,7049.62,2385.54,59.15,0.0
IAV + T4,31.0,114023.9925,560000,11931.2,595.67,324.36,3023.98,1665.59,17.11,82.55
IAV + T4,31.0,36500.0,6300000,1152.62,7903.6,1742.06,13524.8,2999.84,28.96,60.75
